[ROBOTS] https://httpbin.org/deny (200)
[32m[PORT] httpbin.org:80 OPEN[33m (HTTP/1.1 200 OK Date: Sun, 05 Apr 2026 16:08:10 GMT Content-Type: text/html; charset=utf-8 Conten)
[32m[PORT] httpbin.org:443 OPEN[33m (HTTP/1.1 400 Bad Request Server: awselb/2.0 Date: Sun, 05 Apr 2026 16:08:10 GMT Content-Type: tex)
[DIR] https://httpbin.org/admin (404)
[DIR] https://httpbin.org/login (404)
[DIR] https://httpbin.org/dashboard (404)
[DIR] https://httpbin.org/panel (404)
[DIR] https://httpbin.org/api (404)
[DIR] https://httpbin.org/config (404)
[DIR] https://httpbin.org/backup (404)
[DIR] https://httpbin.org/test (404)
[DIR] https://httpbin.org/dev (404)
[DIR] https://httpbin.org/staging (404)
[DIR] https://httpbin.org/uploads (404)
[DIR] https://httpbin.org/images (404)
[DIR] https://httpbin.org/css (404)
[DIR] https://httpbin.org/js (404)
[DIR] https://httpbin.org/.git (404)
[DIR] https://httpbin.org/.env (404)
[DIR] https://httpbin.org/server-status (404)
